Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,
"1","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","4","","surface water","Individual QC","lab duplicate","00GC10C63","NO2+NO3","Nitrogen, Total Oxidized","0.923","mg/l","Total/Bulk","LG203","","","","","","","","",
"2","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","4","","surface water","Individual QC","field duplicate","00GC10D43","NO2+NO3","Nitrogen, Total Oxidized","1.536","mg/l","Total/Bulk","LG203","","","","","","","","",
"3","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","2","","surface water","Composite","routine field sample","00GC10I12","NO2+NO3","Nitrogen, Total Oxidized","1.470","mg/l","Total/Bulk","LG203","","","","","","","","",
"4","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","2","","surface water","Composite","routine field sample","00GC10I32","NO2+NO3","Nitrogen, Total Oxidized","0.402","mg/l","Total/Bulk","LG203","","","","","","","","",
"5","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","2","","surface water","Composite","routine field sample","00GC10I52","NO2+NO3","Nitrogen, Total Oxidized","1.540","mg/l","Total/Bulk","LG203","","","","","","","","",
"6","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","0","","surface water","Composite","routine field sample","00GC10I72","NO2+NO3","Nitrogen, Total Oxidized","0.923","mg/l","Total/Bulk","LG203","","","","","","","","",
"7","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","2","","surface water","Composite","routine field sample","00GC10I92","NO2+NO3","Nitrogen, Total Oxidized","0.360","mg/l","Total/Bulk","LG203","","","","","","","","",
"8","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","0","","surface water","Individual QC","field blank","00GC10R00","NO2+NO3","Nitrogen, Total Oxidized","-0.024","mg/l","Total/Bulk","LG203","","","","","","","","",
"9","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","0","","surface water","Individual QC","field blank","00GC10R80","NO2+NO3","Nitrogen, Total Oxidized","-0.024","mg/l","Total/Bulk","LG203","","","","","","","","",
"10","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S01","NO2+NO3","Nitrogen, Total Oxidized","1.471","mg/l","Total/Bulk","LG203","","","","","","","","",
"11","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","3","Middle Depth","surface water","Individual","routine field sample","00GC10S03","NO2+NO3","Nitrogen, Total Oxidized","1.473","mg/l","Total/Bulk","LG203","","","","","","","","",
"12","2000","April    ","Spring","Erie","SP2000","E061A00","ER61","9.1","41.94655","-83.0451","2000/04/15 08:43","EDT","6","Bottom Minus","surface water","Individual","routine field sample","00GC10S11","NO2+NO3","Nitrogen, Total Oxidized","1.472","mg/l","Total/Bulk","LG203","","","","","","","","",
"13","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S21","NO2+NO3","Nitrogen, Total Oxidized","0.402","mg/l","Total/Bulk","LG203","","","","","","","","",
"14","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","4","Middle Depth","surface water","Individual","routine field sample","00GC10S23","NO2+NO3","Nitrogen, Total Oxidized","0.400","mg/l","Total/Bulk","LG203","","","","","","","","",
"15","2000","April    ","Spring","Erie","SP2000","E060A00","ER60","8.3","41.891233","-83.197167","2000/04/15 11:11","EDT","6","Bottom Minus","surface water","Individual","routine field sample","00GC10S31","NO2+NO3","Nitrogen, Total Oxidized","0.402","mg/l","Total/Bulk","LG203","","","","","","","","",
"16","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S41","NO2+NO3","Nitrogen, Total Oxidized","1.544","mg/l","Total/Bulk","LG203","","","","","","","","",
"17","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","4","Middle Depth","surface water","Individual","routine field sample","00GC10S43","NO2+NO3","Nitrogen, Total Oxidized","1.552","mg/l","Total/Bulk","LG203","","","","","","","","",
"18","2000","April    ","Spring","Erie","SP2000","E059A00","ER59","7.9","41.727317","-83.15005","2000/04/15 12:35","EDT","6","Bottom Minus","surface water","Individual","routine field sample","00GC10S51","NO2+NO3","Nitrogen, Total Oxidized","1.530","mg/l","Total/Bulk","LG203","","","","","","","","",
"19","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S61","NO2+NO3","Nitrogen, Total Oxidized","0.900","mg/l","Total/Bulk","LG203","","","","","","","","",
"20","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","4","Middle Depth","surface water","Individual","routine field sample","00GC10S63","NO2+NO3","Nitrogen, Total Oxidized","0.923","mg/l","Total/Bulk","LG203","","","","","","","","",
"21","2000","April    ","Spring","Erie","SP2000","E058A00","ER58","9.3","41.684917","-82.933833","2000/04/15 13:57","EDT","7","Bottom Minus","surface water","Individual","routine field sample","00GC10S71","NO2+NO3","Nitrogen, Total Oxidized","0.927","mg/l","Total/Bulk","LG203","","","","","","","","",
"22","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","2","Surface","surface water","Individual","routine field sample","00GC10S81","NO2+NO3","Nitrogen, Total Oxidized","0.391","mg/l","Total/Bulk","LG203","","","","","","","","",
"23","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","5","Middle Depth","surface water","Individual","routine field sample","00GC10S82","NO2+NO3","Nitrogen, Total Oxidized","0.392","mg/l","Total/Bulk","LG203","","","","","","","","",
"24","2000","April    ","Spring","Erie","SP2000","E091A00","ER91M","10.4","41.840033","-82.9167","2000/04/15 15:16","EDT","9","Bottom Minus","surface water","Individual","routine field sample","00GC10S91","NO2+NO3","Nitrogen, Total Oxidized","0.391","mg/l","Total/Bulk","LG203","","","","","","","","",
"25","2000","April    ","Spring","Erie","SP2000","E092A00","ER92","11.1","41.949967","-82.686733","2000/04/15 17:30","EDT","9","","surface water","Individual","lab duplicate","00GC11C11","NO2+NO3","Nitrogen, Total Oxidized","0.408","mg/l","Total/Bulk","LG203","","","","","","","","",
"26","2000","April    ","Spring","Erie","SP2000","E073A00","ER73","25","41.9777","-81.75755","2000/04/16 00:13","EDT","21","","surface water","Individual QC","lab duplicate","00GC11C71","NO2+NO3","Nitrogen, Total Oxidized","0.070","mg/l","Total/Bulk","LG203","","","","","","","","",
"27","2000","April    ","Spring","Erie","SP2000","E042A00","ER42","23","41.964533","-82.042033","2000/04/15 22:35","EDT","10","","surface water","Individual QC","field duplicate","00GC11D43","NO2+NO3","Nitrogen, Total Oxidized","0.110","mg/l","Total/Bulk","LG203","","","","","","","","",
"28","2000","April    ","Spring","Erie","SP2000","E092A00","ER92","11.1","41.949967","-82.686733","2000/04/15 17:30","EDT","2","","surface water","Composite","routine field sample","00GC11I12","NO2+NO3","Nitrogen, Total Oxidized","0.402","mg/l","Total/Bulk","LG203","","","","","","","","",
"29","2000","April    ","Spring","Erie","SP2000","E043A00","ER43","22.8","41.788117","-81.945133","2000/04/15 21:05","EDT","2","","surface water","Composite","routine field sample","00GC11I32","NO2+NO3","Nitrogen, Total Oxidized","0.103","mg/l","Total/Bulk","LG203","","","","","","","","",
"30","2000","April    ","Spring","Erie","SP2000","E042A00","ER42","23","41.964533","-82.042033","2000/04/15 22:35","EDT","2","","surface water","Composite","routine field sample","00GC11I52","NO2+NO3","Nitrogen, Total Oxidized","0.110","mg/l","Total/Bulk","LG203","","","","","","","","",
"31","2000","April    ","Spring","Erie","SP2000","E073A00","ER73","25","41.9777","-81.75755","2000/04/16 00:13","EDT","2","","surface water","Composite","routine field sample","00GC11I72","NO2+NO3","Nitrogen, Total Oxidized","0.066","mg/l","Total/Bulk","LG203","","","","","","","","",
"32","2000","April    ","Spring","Erie","SP2000","E036A00","ER36","24","41.935017","-81.478167","2000/04/16 01:53","EDT","2","","surface water","Composite","routine field sample","00GC11I92","NO2+NO3","Nitrogen, Total Oxidized","0.148","mg/l","Total/Bulk","LG203","","","","","","","","",
"33","2000","April    ","Spring","Erie","SP2000","E092A00","ER92","11.1","41.949967","-82.686733","2000/04/15 17:30","EDT","2","Surface","surface water","Individual","routine field sample","00GC11S01","NO2+NO3","Nitrogen, Total Oxidized","0.391","mg/l","Total/Bulk","LG203","","","","","","","","",
