,Year,Month,mean
0,1983,4,21.46666666666667
1,1983,5,20.166666666666664
2,1983,8,10.085714285714285
3,1983,10,10.325
4,1984,4,18.65
5,1984,5,16.2
6,1984,8,9.666666666666666
7,1984,12,10.475000000000001
8,1985,4,10.124285714285715
9,1985,8,8.986666666666666
10,1985,11,13.0525
11,1986,4,12.326666666666666
12,1986,8,10.117142857142856
13,1987,4,13.635869565217389
14,1987,7,9.744444444444444
15,1987,8,9.573684210526316
16,1988,4,11.471428571428572
17,1988,8,9.222222222222221
18,1989,8,10.466666666666667
19,1990,4,14.438235294117646
20,1990,8,11.069444444444445
21,1991,4,13.499999999999998
22,1991,8,9.68888888888889
23,1992,4,14.54722222222222
24,1993,4,15.283333333333328
25,1996,4,14.80825
26,1996,8,9.937517241379313
27,1997,4,15.222649122807018
28,1997,8,10.725818181818182
29,1998,4,11.216068965517241
30,1998,8,9.418518518518518
31,1999,3,16.446428571428573
32,1999,8,10.123688888888887
33,2000,4,13.965172413793104
34,2000,8,11.042857142857141
35,2001,4,14.493238
36,2001,8,10.259872107142856
37,2002,4,13.260919603448276
38,2002,8,10.546230464285713
39,2003,4,13.668079474999999
40,2003,8,11.53003737037037
41,2004,4,14.257565206896551
42,2004,8,11.082411214285715
43,2005,4,15.429068212121212
44,2005,8,10.613931034482759
45,2006,4,13.93141379310345
46,2006,8,11.609821428571427
47,2007,4,11.52565517241379
48,2007,8,10.104827586206898
49,2008,4,17.16867857142857
50,2008,8,11.761357142857142
51,2009,4,15.648185185185186
52,2009,8,12.497071428571429
53,2010,4,12.45907142857143
54,2010,8,11.131000000000002
55,2011,4,19.542925925925925
56,2011,8,12.175185185185185
57,2012,4,15.809962962962963
58,2012,8,11.59037037037037
59,2013,4,16.358851851851853
60,2013,8,13.674461538461541
61,2014,4,16.141185185185183
62,2014,8,11.84732142857143
63,2015,4,12.591555555555557
64,2015,8,11.211067629629627
65,2016,4,18.466222222222225
66,2016,8,11.399153846153846
67,2017,4,13.296080592592592
