YYYY,MM,DD,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
yy,mm,dd,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,nmi,ft
2006,3,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1014.73,-1.561594203,3.417391304,NAN,NAN,NAN
2006,3,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1008.129915,-0.795299145,2.761965812,NAN,NAN,NAN
2006,3,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1022.424153,-3.158050847,2.652542373,NAN,NAN,NAN
2006,3,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1027.512552,-2.232635983,3.123849372,NAN,NAN,NAN
2006,3,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1027.488703,-0.49916318,3.582845188,NAN,NAN,NAN
2006,3,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1020.321849,-0.047478992,3.792857143,NAN,NAN,NAN
2006,3,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1026.026582,-0.652320675,3.881012658,NAN,NAN,NAN
2006,3,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1019.18534,1.863131313,3.836363636,NAN,NAN,NAN
2006,3,9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1002.811864,11.31313559,3.563135593,NAN,NAN,NAN
2006,3,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,994.6322835,14.43858268,3.878813559,NAN,NAN,NAN
2006,3,11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1021.187037,8.046759259,4.84092827,NAN,NAN,NAN
2006,3,12,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1016.083544,12.4505814,5.778481013,NAN,NAN,NAN
2006,3,13,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1006.05042,19.10434783,6.078991597,NAN,NAN,NAN
2006,3,14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1006.441423,NAN,6.179916318,NAN,NAN,NAN
2006,3,15,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1017.357203,3.014285714,5.63940678,NAN,NAN,NAN
2006,3,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1021.742373,0.967372881,5.649576271,NAN,NAN,NAN
2006,3,17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1023.1475,-0.413333333,6.29375,NAN,NAN,NAN
2006,3,18,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1024.929114,-1.192827004,6.664135021,NAN,NAN,NAN
2006,3,19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1022.296186,0.312711864,6.655932203,NAN,NAN,NAN
2006,3,20,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1022.952564,0.241025641,6.527777778,NAN,NAN,NAN
2006,3,21,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1017.790377,-2.79790795,6.486192469,NAN,NAN,NAN
2006,3,22,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1018.713559,-0.252966102,5.875,NAN,NAN,NAN
2006,3,23,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1023.340254,1.742372881,5.852966102,NAN,NAN,NAN
2006,3,24,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1020.430085,1.338983051,6.352118644,NAN,NAN,NAN
2006,3,25,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1018.1915,0.654726368,6.79800995,NAN,NAN,NAN
2006,3,26,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1022.986667,2.863333333,7.226666667,NAN,NAN,NAN
2006,3,27,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1026.154008,2.49535865,7.420253165,NAN,NAN,NAN
2006,3,28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1021.91875,5.281666667,7.60625,NAN,NAN,NAN
2006,3,29,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1024.92383,4.192340426,7.636595745,NAN,NAN,NAN
2006,3,30,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1024.217647,7.921505376,7.676470588,NAN,NAN,NAN
2006,3,31,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1016.75,17.52222222,7.714285714,NAN,NAN,NAN
2006,4,1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1012.114583,9.999583333,NAN,NAN,NAN,NAN
2006,4,2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1019.024895,5.385714286,NAN,NAN,NAN,NAN
2006,4,3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1004.040175,NAN,NAN,NAN,NAN,NAN
2006,4,4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1012.612626,NAN,NAN,NAN,NAN,NAN
2006,4,5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1012.692437,NAN,NAN,NAN,NAN,NAN
2006,4,6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1013.882773,7.206666667,NAN,NAN,NAN,NAN
2006,4,7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1003.71519,10.26202532,NAN,NAN,NAN,NAN
2006,4,8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1014.846352,2.099141631,NAN,NAN,NAN,NAN
2006,4,9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1024.556962,1.942194093,NAN,NAN,NAN,NAN
2006,4,10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1024.668936,7.10893617,NAN,NAN,NAN,NAN
2006,4,11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1023.180591,12.28526786,NAN,NAN,NAN,NAN
2006,4,12,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1017.316034,13.45,NAN,NAN,NAN,NAN
2006,4,13,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1018.438136,13.97552743,NAN,NAN,NAN,NAN
2006,4,14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1008.700844,17.27890295,NAN,NAN,NAN,NAN
2006,4,15,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1005.545763,13.62451923,NAN,NAN,NAN,NAN
2006,4,16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1010.666102,NAN,NAN,NAN,NAN,NAN
2006,4,17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1010.751064,9.578571429,NAN,NAN,NAN,NAN
2006,4,18,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1017.348458,8.76784141,NAN,NAN,NAN,NAN
2006,4,19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1015.960177,10.19115646,NAN,NAN,NAN,NAN
